comments,samsung,apple,token,samsung/manually,apple/manually
» در پاسخ به نظر میلاد ب به تاریخ 1401/7/28 (برای نمایش نظر کلیک کنید...) و دقیقا بدیش همینجاست کابل شارژ usb c هست و برای شارژ اپل پنسل یک ادم دچار مشکل میشه که باید یه محصول ۵۰ دلاری رابط اپل جدا براش بخریمنم خودم مونده بودم کدوم ایپد بخرم انقد خوشحال شدم که این 10th generation قیمتش کمتره ولی موقع رونمایش وقتی گفت اپل پنسل ۱ رو ساپورت میکنه خورد تو ذوقم و خلاصه که برای کسایی که به اپل پنسل نیازی ندارن یا نمیخوان بازیای گیمینگ سخت روش انجام بدن خیلی محصول مقرون به صرفه ای هست,Neutral,Neutral,341,Neutral,Neutral
"» در پاسخ به نظر hamid e به تاریخ 1401/7/29 (برای نمایش نظر کلیک کنید...) و البته قیمتش هم 120 دلار بالا رفته که اصلا خوب نیست. چون مسلما دیگه داره به جایی میرسه که خرید آیپد ایر، حتی ایپد ایر یک یا حتی دو نسل قبل از ایپد معمولی بهتره.",Neutral,Disagree,164,Neutral,Disagree
» در پاسخ به نظر میلاد ب به تاریخ 1401/7/28 (برای نمایش نظر کلیک کنید...) تاره بعضی کاربرا میگن صفحه نمایشش هم لمینیت شده نیست و ی فاصله ای با شیشه روش داره://///////,Neutral,Neutral,109,Neutral,Neutral
"با سلام دقیقا آیپد ایر۲۰۲۰ هستش، منتها این از لحاظ دوربین سلفی اندکی از اون قوی تر هست، ولی از لحاظ عدم ساپورت اپل پنسل دو و باتری ضعیف تر، از آیپد ایر۲۰۲۰ ضعیف تره.",Neutral,Disagree,132,Neutral,Disagree
همون ایپد ایر قبلی هست بدون ساپورت اپل پنسل ۲ و یکم ارزونتر,Neutral,Neutral,47,Neutral,Neutral
» در پاسخ به نظر حمید ا به تاریخ 1394/7/5 (برای نمایش نظر کلیک کنید...) سلام بله داره خيلي هم خوب,Neutral,Neutral,65,Neutral,Neutral
سلام . دوستان عزیز آیا این آیپد 2 وای فای + 3g در قسمت مشخصاتش اثری از سیم کارت خور بودنش وجود نداره ... امکان ارتباط با اینترنت رو داره ؟ بدون استفاده از wi fi...,Neutral,Neutral,108,Neutral,Neutral
"» در پاسخ به نظر amin a به تاریخ 1394/4/29 (برای نمایش نظر کلیک کنید...) منم ایپد ۲ دارم و خیلی خیلی هم ازش راضی هستم هر بار که ورژن جدید براش اپدیت‌میکنم میشه مثل جدیدترین محصول امروز اپل ، خدا روح استیو جابز رو مورد ارامش قرار بده که با این فن اوری به داد ادما رسید مرسی",Neutral,Agree,185,Neutral,Agree
به نظرمن این فرقه زیادی با ایپد ایر 2 هم نمیکنه.ممنون اپل,Neutral,Neutral,44,Neutral,Neutral
من یک آیپد2 قدیمی آی او اس 4 داشتم نوشته بود آپدیت به آی او اس 8 خلاصه دانلودش کردیم آپدیتش کردم به آی او اس 8 الان مث ساعت کار میکنه من موندم چجوری با این سیستم آی او اس 8 نصب کرد روشدر آخر خدا پدر مادر و خود استیو جابز بیامرزه بخاطر این شاهکارش که یعد سالها میتونی ازش استفاده کنی,Neutral,Agree,215,Neutral,Agree
سلام نه اي پد ٢ افتضاح هستش قابل توجه اقاي شهاب الدينً,Neutral,Disagree,40,Neutral,Disagree
سلام دوستان من یک اچ تی سی وان xبلاس دارم به نظر شما میرزه با این تبلت سر به سر بدون دادن وگرفتن بولی عوض کنم؟؟تروخدا ج بدین خواهشاج بدین مرگ من ج بدین,Neutral,Neutral,103,Neutral,Neutral
سلام ببخشید ایپد 2 4G+Wifi هم هستش,Neutral,Neutral,24,Neutral,Neutral
» در پاسخ به نظر Maryam C به تاریخ 1391/5/26 (برای نمایش نظر کلیک کنید...) سلام.منظورت از طریق سیمکارته؟؟؟؟؟,Neutral,Neutral,80,Neutral,Neutral
سلام ببخشين قيمت روز اين تبلت چنده؟ آخه ميخاستم بفروشمش قيمت نداشتم ممنون,Neutral,Neutral,62,Neutral,Neutral
سلام به همه دوستان اینجا کسی هست بدونه کجا تعمیرات سخت افزاری انجام میدن ایپد من مشکل پیدا کرده,Neutral,Neutral,63,Neutral,Neutral
سلامواقعا از کار باهاش لذت میبرم اما برای کسایی که به اندروید عادت کردن مثل خود منو اگه نخوان جیلبریک کنن خیلی به مشکل بر میخورناما کیفیت ساختش چند برابر سامسونگهاما خوب من به شخصه اندروید و سامسونگا بیشتر میپسندم چون با قیمت کمتر اینامکانات بهتری مخصوصا تو ایران میدن,Agree,Disagree,190,Agree,Disagree
» در پاسخ به نظر arman h به تاریخ 1391/3/16 (برای نمایش نظر کلیک کنید...) با سلام منظور از 3g اين است كه شما قادريد در هر جايي بدون همراه داشتن مودم به شبكه اينترنت وصل شويد.اگر ميخواهي تبلتو تو دانشگاه يا خونه فقط استفاده كني بهتره wi fi اش رو بخري در غير اين صورت 3g دار باشه بهتره.,Neutral,Neutral,193,Neutral,Neutral
اگر میشود به من بگویید که 3G یعنی چه و چه کارایی در ایران دارد یا اینکه بدرد می خورد؟,Neutral,Neutral,62,Neutral,Neutral
من این ایپد را دارم.فقط کمکم کنین که چه طوری می شود gps را فعال کرد یا ریخت.,Neutral,Neutral,55,Neutral,Neutral
من خودم از همين تبلت دارم خيلي تحقيق كردن اول مي خواستم سامسونگ گالاكسي بخرم ولي به خاطر اينكه سيستم عامل وامكانات ايپد بيشتر بود ترجيح دادم ايپد رو بخرمسامسونگ گالاكسي فقط يه نقطه ي قوت از ايپد داشت اون هم همين ماكالمه با نصب سيم كارت بودبه ايپد هم سيم كارت وصل ميشه ولي ميتوني از اينترنت وgps ان استفاده كني براي مكالمه بايى برنامه داشته باشه مثلا برنامه ي oovoo كه دو طرف بايد اين برنامه رو داشته باشن تا به صورت رايگان مكالمه داشته باشنولي براي اينكه از اينترنت استفاده كنيد سعي كنيد از سيم كارت ايرانسل استفاده كنيد چون سرعت بالايي داره بهتره از طرح يك ماهه ي ايرانسل كه ١٠ هزارتومن هست استفاده كنيد تا بتوانيد يك ماه اينترنت همراه داشته باشين در ضمن براي دانلود به برنامه ها بايد app مورد نظر براي دانلود را داشته باشيد,Neutral,Agree,520,Neutral,Agree
من نمي دونم كه در مورد چي حرف ميزنيد با آيپد ٢ نميشه حرف زد ... كلا رو دستش نيست مثلا اون تبلت سامسونگ متقلب. همه هم همينو ميگن .من خودم خيلي وقته دارمش و ازش راضي هستم .چند ايراد جزعي داره كه در مقابل امكانات زيادش به چشم نمياد.يكي از ايرادها كه همه ي محصولات اپل دارن ايتيونز اعصاب خرد كن هستش كه نميذاره از ٢ كامپيوتر روش چيزي بريزي.دوربينش ضعيف ولي به نظر من مهم نيست چون تبلته نه دوربين!از نظر وب گردي هم خيلي عاليه ولي فلش رو پشتيباني نميكنه!در كل از همه ي اينا بگذريم با اين پول كه براي اين تبلت ميخواهيد بپردازيد بهتره لپ تاپ خوب بگيريد به قول معروف كرمش فقط روز هاي اوله و بعد تموم ميشه.,Agree,Disagree,441,Agree,Disagree
من نمیدونم چرا وقتی اطلاعات کافی کسی نداره .واسه چی اطلاعات غلط به هم دیگه میگید؟کجا گفته شده که ایپد 2 مدل 3 جی نمیشه اس ام اس داد؟ همین الان بیارم جلوتون باهاش اس ام اس بدم؟ کجا گفته شده که نمیشه صحبت کرد.؟ با برنامه ی truphone با استفاده از هندز فری میشه حرف زد.فقط با کانتکت های داخل سیم کارت میشه ارتباط برقرار کرد. حالا هی بزنید تو سر همدیگه و بگید این نمیشه اون نمیشه.فقط ما ایرانی ها بلدیم با همدیگه بجنگیم.همین و بس.,Neutral,Disagree,313,Neutral,Neutral
بابا تو مثل اينكه با سامسونگ كار نكردي وگر نه اينقدر در مورد اين ایپد بي امكانات و الكي گرون تعريف نميكردي,Agree,Disagree,74,Agree,Disagree
این تبلت یک موفقیت بزرگ برای اپل بود چرا که چندین ساعت پس از ریلیز شدن اپل استور های دنیا جارو شدند!اما مشکلاتی برای کاربرانی مثل ایرانی ها و چینی ها داشت که یکیش عدم جیلبریک شدن بود و بعدش فقط در نسخه 4.3.3 جیلبریک شدن.البته باید گفت که تکنولوژی 3جی در این دیوایس بسیار سرعت بالاتری داشته و موجب شده که سایر سازندگان تبلت نتونن روی دست اپل بلند بشن.البته بازم اختصاصی بودن اپل کار دستمون میده صد در صد چون که یه سری امکانات رو نمیتونیم داشته باشیم :),Neutral,Agree,330,Neutral,Agree
به نظر من این ایپد محصول خوبی می‌تونه باشه هرچند به دلیل نبود تکنولوژی 3G تو کشور ما خیلی از کارایی‌هاش قابل استفاده نیست. من امیدوارم که ترکیب این تکنولوژی‌ها رو تو کشور داشته باشیم تا بتونیم لذت ببریم از این جور چیزا,Neutral,Agree,157,Neutral,Agree
انتظار بیشتری داشتم از اپل,Neutral,Disagree,20,Neutral,Disagree
"*******مهم . دوستان حتمابخونید:بیش از 120 میلیون فارسی زبان در کشور های ایران، افغانستان و تاجیکستان زندگی میکنند؛ حدود 7 میلیون نفر هم در کل دنیا پراکنده هستند که بیشتر این افراد در امریکا ، بریتانیا و کشورهای غربی سکونت دارند.با توجه به این که در کشور های فارسی زبان، شرکت اپل بازار رسمی ندارد، طبق آخرین آمار های غیر رسمی ما و آن چیزی که در جامعه مشاهده میکنیم عدۀ زیادی از مردم از دستگاه های iPod و iphone و iPad استفاده میکنند.با این توضیحات و با امضای این فرم اینترنتی ما فارسی زبانان در تمام دنیا از شرکت اپل درخواست میکنیم تا زبان (منو) فارسی و تقویم جلالی را به لیست زبان ها و تقویم های این دستگاه ها اضافه کند چرا که تحریم یک زبان و تاریخ موضوعی غیرمنطقی است. لینک :http://www.persian-ios.com/",Neutral,Neutral,478,Neutral,Neutral
با سلامیک سوال از دوستان داشتم . من یک iPad 2 دارم که نسخه ios اون 4.3.3 هست و میخوام بیارمش روی ورژن 5.1.1 که بعد جلبریکش کنم . ولی آیتونز نمیزاره . آیتونز پیغام میده که به ورژن 6.1.3 آپ دیتش کنم. ولی من میخوام به ورژن پایین تر یعنی 5.1.1 آپ دیتش کنم . خواستم ببینم راهی هست. آخه جلبریک 5.1.1 و 6.1.2 کامل اومده ولی 6.1.3 خیر. ممنون میشم راهنمایی فرمایید.,Neutral,Neutral,268,Neutral,Neutral
راستی عزیزان از کجا بدونم ساخت امریکاست یا نه ؟شماره سریالش رو جعبه نیست !و اینکه چطور میشه فهمید نو بوده یا کارکرده ؟ !,Neutral,Neutral,90,Neutral,Neutral
سلام عزیزان من 7 / 3 / خریدم با برچسب و کیف و فول برنامه و ابدیت سیستم عاملش 000 / 480 / 1 تومان . به نظرتون خوب خریدم ؟کیفیت دوربینش چند مگاپیکسله ؟چطور میتونم باهاش عکس بگیرم ؟ممنونم .,Neutral,Neutral,140,Neutral,Neutral
من یکی از این تبلتها یعنی آیپد 2 رو دارم. تنها تبلتیه که باتریش 10 ساعت کار می کنه. بقیه بین 5 تا 7 ساعت در بهترین حالت بیشتر کار نمی دن.,Neutral,Agree,102,Neutral,Agree
"دوستان :اين به تنهايي جواب نميده ، ميدونيد چرا !؟بايد يك ايفون هم داشته باشي كه كنار هم بتوني استفاده كني دوست من اينجوري استفاده ميكنه و خيليم راضيه ٢تومنم نميفروشه !!!منم ايفون دارم و ميخوام يدونه بگيرم كه باهم كانكت كنم و استفاده كنم 😉صفحه ي عالي ، تاچ قوي داره كيفت فيلم و صداش عاليه باطريش خوبه بازي هيي كه روش تست كرديم :😍asphalt 7 GTAMax payn",Neutral,Agree,245,Neutral,Agree
"ipad2 تها عيبي كه داره دوربينشه و اگر براي دور بينش مي خواينش برين يكي ديگه بگيريد ،ولي اگر تبلت مي خواين apple بگيريد",Neutral,Agree,85,Neutral,Agree
سلام این تبلت از لحاظ سرعت عالی رزولیشن صفحه عالیه من خودم هم تبلت اچ تی سی مدل فلایر داشتم هم هفت پلاس سامسونگ ولی این یه چیز دیگست شاید بعضی ها بگن دوربینش خوب نیست ولی کیفیت عکسای دوربینش از دوربین 3.2 سامسونگ بهتر شارز خوب نگه میداره تو وب گردی ازش خیلی راضی هستم مخصوصا که مثل سامسونگ داغ نمیکنه کیبوردم براش گرفتم با کیبوردم که از طریق بلوتوث وصل بهش خوب میشه کار کرد در کل تو تبلتا اپل حرف اول میزنه,Disagree,Agree,299,Disagree,Agree
"به نظر من يه ميليون دويست نمي ارزه! عيبش دوربينشه ، كيفيت عكساش اصلن خوب نيست، كه اگه بخواي مثلن از جزوه هات عكس بگبري چيز داغوني از آب در مياد، من خودم بعد از اينكه خريدمش با تبلتاي بلك بري آشنا شدم كه فكر ميكنم بلك بري گزينه خيلي بهتري و در ضمن قيمتشم مناسب تره، ولي بلك بري هم يه سري محدودىت براي ايرانيا داره و اپليكشناشم محدودن!دركل آيپد تبلت خوبيه ولي بهترين تبلت موجود نيستش، اينم بدون كه ما نصف اين پولي كه داريم ميديم رو بابت اسم برند اپل ميديم،هر چند كامنتت رو ظاهرن خيلي دير ديدم ولي اميدوارم اگه هنوزتبلت نخريدي كمكت كرده باشم.",Neutral,Disagree,407,Neutral,Disagree
با سلام بنظر شما مي ارزه اين تبلتو گرفت؟كسي معايبشو ميدونه لطفا بگه .مرسي,Neutral,Neutral,61,Neutral,Neutral
حدیث جان آی پد صفحه حرارتی داره و با حرارت دست کار میکنه و قلم به هیچ وجه جواب نمیده.,Neutral,Neutral,58,Neutral,Neutral
به تفاوت قیمتش با ipad3 این نباید ارزونتر باشه؟,Neutral,Neutral,33,Neutral,Neutral
تبلت عالی است و سرعتش با لا است ولی کیفیت دوربین ان بد است ولی در ای پد 3 یا new کیفیت عالی دارد,Neutral,Agree,60,Neutral,Agree
قلم نداره؟,Neutral,Neutral,9,Neutral,Neutral
عالیه,Neutral,Neutral,4,Neutral,Neutral
سلام. داش پردازندش همون پردازنده آیفون 11 هست مشکلی نداره برای بازیمن توی آیپد نسل هشت که یه مدل از این پایین تره هم کالاف دیوتی بازی کردم هم امتحانی پابجی نصب کردم مشکلی نداشت هردوتا روی گرافیک بالا خودکار تنظیم میکرد. بهمن 1401 بود تست کردم روی ایپد نسل 8 که پردازندش برا xs هست.,Neutral,Neutral,207,Neutral,Neutral
سلام رفقا من میخوام این ایپد رو برای پابجی و نیو استیت موبایل خریداری کنم لطفا اگه تجربه استفاده طولانی مدت (سه ماه به بالا) دارید ممنون میشم یه کمکی بکنید . ممنون,Neutral,Neutral,112,Neutral,Neutral
» در پاسخ به نظر شهرام م به تاریخ 1401/8/7 (برای نمایش نظر کلیک کنید...) خیر امکانش نیست,Neutral,Neutral,59,Neutral,Neutral
سلام دوستانمن قصد خرید این تبلت دارم برای کارهای دانشجویی پس به آفیس نیاز دارم ایا امکان داره روش بشه آفیس غیر پولی بریزم .و همچنین خود اپل برنامه رایگانی نداره که بشه صفحات ورد اکسل با pdf را مشاهده کرد,Neutral,Disagree,140,Neutral,Disagree
"» در پاسخ به نظر یلدا ک به تاریخ 1401/4/10 (برای نمایش نظر کلیک کنید...) سلام، این آیپد دو مدل داره، با سیمکارت و بدون سیمکارت.که مسلما شما بدون سیمکارت خریدی!اگر نیاز به اینترنت خط داری به هات اسپات گوشیت وصل شو",Neutral,Neutral,151,Neutral,Neutral
سلام دوستان من این آیپد رو تازه خریدم ولی داخل مشخصاتش تو این سایت نوشته سیم کارت میخوره ولی وقتی خریدم گفتن این آیپد اصلا سیم کارت خور نیست کسی میدونه چجوریه ممنون میشم راهنمایی کنید 🙏,Neutral,Neutral,135,Neutral,Neutral
دوستان یه سوال چرا قیمتش روز به روز بالاتر میره,Neutral,Neutral,34,Neutral,Neutral
"دوستان من این رو برای پابجی میخام بگیرم، کسی طولانی مدت بازی کرده ببینه داغی بیش از حد یا بازی لگ داشته باشه؟",Neutral,Neutral,75,Neutral,Neutral
"» در پاسخ به نظر Mahdi R به تاریخ 1401/3/10 (برای نمایش نظر کلیک کنید...) سلام، خب این اف پی اس واقعی نیست چون صفحه نمایش خود اپل گفته نهایت ۶۰ هرتز پشتیبانی میکنه.",Disagree,Neutral,118,Neutral,Neutral
» در پاسخ به نظر Mohsen A به تاریخ 1401/3/8 (برای نمایش نظر کلیک کنید...) سلام داداش. یکی از رفیقام داره 90 fps پشتیبانی میکنه.,Agree,Neutral,86,Agree,Disagree
"» در پاسخ به نظر morteza d به تاریخ 1401/2/6 (برای نمایش نظر کلیک کنید...) صفحه نمایش این ایپد ۶۰هرتز هست، نمیشه 90fps بازی کرد",Disagree,Neutral,88,Neutral,Disagree
» در پاسخ به نظر Mahdi R به تاریخ 1400/12/14 (برای نمایش نظر کلیک کنید...) سلا نو لگ,Neutral,Neutral,53,Neutral,Neutral
» در پاسخ به نظر Yasaman S به تاریخ 1401/2/17 (برای نمایش نظر کلیک کنید...) سلام احتیاجی نداره هرجور دوست داری شارژش کن,Neutral,Neutral,78,Neutral,Neutral
» در پاسخ به نظر morteza d به تاریخ 1401/2/6 (برای نمایش نظر کلیک کنید...) سلام در کل این ایپد برای بازی عالیه,Neutral,Agree,70,Neutral,Agree
"سلام ، من امروز این آیپد رو خریدم. میشه یکی بگه شارژ اولیه اش باید چند ساعت باشه؟؟؟؟",Neutral,Neutral,68,Neutral,Neutral
